QR;ToolNummer;ToolName;Typ;Radius;Eckenradius;Spitzenwinkel;Eintauchwinkel;Schneiden;Schnittlaenge;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Steigung;Message1;Message2;Message3;Message4;Message5;KK_Durchmesser;KK_Laenge;Lage
120824120546;;;;;;;;;;;;;;;308196 6;;;;;;
090824075729;53;D6_SCHLICHT_KURZ;10;3;0;0;2.5;3;13;25;155;152;0;202392 6;308196 6;;309880 63;HSK63;35;160;
080824161156;51;D5_SCHLICHT_KURZ;10;2.5;0;0;2.5;3;14;20;154;152;0;202392 5;308196 6;;309880 63;HSK63;35;160;
090824074544;44;D1.5_SCHLICHT_KURZ;10;0.75;0;0;2.5;3;5;8;157;150;0;202392 1.5;308196 6;;309880 63;HSK63;35;160;
090824073924;45;D2_SCHLICHT_KURZ;10;1;0;0;2.5;3;6;10;151;150;0;202392 2;308196 6;;309880 63;HSK63;35;155;
090824073309;46;D2.5_SCHLICHT_KURZ;10;1.25;0;0;2.5;3;7;13;155;150;0;202392 2.5;308196 6;;309880 63;HSK63;35;160;
090824072510;47;D3_SCHLICHT_KURZ;10;1.5;0;0;2.5;3;9;15;155;152;0;202392 3;308196 6;;309880 63;HSK63;35;160;
080824161841;48;D3.5_SCHLICHT_KURZ;10;1.75;0;0;2.5;3;12;16;158;152;0;202392 3.5;308196 6;;309880 63;HSK63;35;165;
080824161627;49;D4_SCHLICHT_KURZ;10;2;0;0;2.5;3;12;17;152.5;152;0;202392 4;308196 6;;309880 63;HSK63;35;160;
080824161414;50;D4.5_SCHLICHT_KURZ;10;2.25;0;0;2.5;3;14;19;153;152;0;202392 4.5;308196 6;;309880 63;HSK63;35;160;
120824130003;;;;;;;;;;;;;;;308196 6;;;;;;
090824075438;43;D1_SCHLICHT_KURZ;10;0.5;0;0;2.5;3;3;6;151;142;0;202392 1;308196 6;;309880 63;HSK63;35;160;C400
120824133127;;;;;;;;;;;;;;;308196 6;;;;;;
120824132942;;;;;;;;;;;;;;;308196 6;;;;;;
120824134051;;;;;;;;;;;;;;;308196 6;;;;;;
120824120351;;;;;;;;;;;;;;;308196 6;;;;;;
120824135646;;;;;;;;;;;;;;;308196 6;;;;;;
120824133304;;;;;;;;;;;;;;;308196 8;;;;;;
120824135310;;;;;;;;;;;;;;;308196 8;;;;;;
120824132751;;;;;;;;;;;;;;;308196 8;;;;;;
120824124757;;;;;;;;;;;;;;;308196 8;;;;;;
120824083951;;;;;;;;;;;;;;;308196 8;;;;;;
090824100551;55;D8_SCHLICHT_KURZ;10;4;0;0;2.5;3;20;33;163;158;0;202392 8;308196 8;;309880 63;HSK63;35;170;
120824101012;;;;;;;;;;;;;;;308196 4;;;;;;
120824072358;;;;;;;;;;;;;;;308196 4;;;;;;
120824135500;;;;;;;;;;;;;;;308196 4;;;;;;
120824072114;;;;;;;;;;;;;;;308196 4;;;;;;
120824133457;;;;;;;;;;;;;;;308196 10;;;;;;
120824131627;;;;;;;;;;;;;;;308196 10;;;;;;
120824121119;;;;;;;;;;;;;;;308196 10;;;;;;
090824101930;57;D10_SCHLICHT_KURZ;10;5;0;0;2.5;3;16;24;159.5;162;0;202392 10;308196 10;;309880 63;HSK63;35;165;
120824140209;;;;;;;;;;;;;;;308196 10;;;;;;
120824140020;;;;;;;;;;;;;;;308196 10;;;;;;
120824125130;;;;;;;;;;;;;;;308196 12;;;;;;
090824102349;59;D12_SCHLICHT_KURZ;10;6;0;0;2.5;3;27;45;175;167;0;202392 12;308196 12;;309880 63;HSK63;35;180;
120824131441;;;;;;;;;;;;;;;308196 12;;;;;;
120824125605;;;;;;;;;;;;;;;308196 12;;;;;;
120824132121;;;;;;;;;;;;;;;308196 12;;;;;;
120824072614;;;;;;;;;;;;;;;308196 14;;;;;;
120824132549;;;;;;;;;;;;;;;308196 14;;;;;;
120824133647;;;;;;;;;;;;;;;308196 16;;;;;;
090824103004;61;D16_SCHLICHT_KURZ;10;8;0;0;2.5;3;24;38;168;173;0;202392 16;308196 16;;309880 63;HSK63;35;175;
120824134924;;;;;;;;;;;;;;;308196 16;;;;;;
120824135833;;;;;;;;;;;;;;;308196 16;;;;;;
090824104732;63;D20_SCHLICHT_KURZ;10;10;0;0;2.5;3;38;52;188;183;0;202392 20;308196 20;;309880 63;HSK63;35;195;
120824135112;;;;;;;;;;;;;;;308196 18;;;;;;
120824100250;18;D32_MK_ALU_EINSCHRAUBER;0;16;1.2;0;2.5;3;15;118;143.6;143.5;0;1AX2K032043X8R00;307042 M16X75;;309880 63;HSK63;35;145;
120824091642;6;D42_MK_RUNDPLATTE;0;20;5;0;2.5;5;12;64;90;89.5;0;5B5H042R01;306530 16;;309880 63;HSK63;80;95;
120824090405;1;3D__TASTER;99;4;2;0;0;0;0;0;166;63;0;;329085-01;;;HSK63;80;170;
120824090557;20;D50_MK_ALU;0;25;1.2;0;2.5;4;15;124;150;149.5;0;AX2K050R00;306562 22;;309880 63;HSK63;80;155;
120824095841;22;D100_MK_ALU;0;50;0.8;0;2.5;6;15;96;122.5;120.5;0;AX2K100R00;306530 32;;309880 63;HSK63;125;130;
120824091345;14;D63_MK_SCHRUPP;0;31.5;0.5;0;2.5;7;11;64;90;89.5;0;TJ5Q063R00;306530 22;;309880 63;HSK63;80;95;
120824100053;10;D63_MK_ECK;0;31.5;0.5;0;2.5;9;9;114;140;139.5;0;KJ5D063R00;306562 22;;309880 63;HSK63;80;120;
120824094741;8;D32_MK_ECK_EINSCHRAUBER;0;16;0.5;0;2.5;5;7;115;144;143.5;0;1KJ1D032043X8R00;307044 M16X75;;309880 63;HSK63;35;150;
120824095112;17;D25_MK_ALU_EINSCHRAUBER;0;12.5;1.2;0;2.5;2;15;93;126.5;126.5;0;1AX2K025043X7R00;HSKA63ODP12X84;;309880 63;HSK63;35;130;
120824091030;4;D50_MK_ECK_EDELSTAHL;0;25;0.5;0;2.5;7;7;64;90;89.5;0;KJ5D050R00;306530 22;;309880 63;HSK63;80;95;
120824100440;9;D40_MK_ECK;0;20;0.5;0;2.5;6;7;112;140;139.5;0;KJ5D040R00;306562 16;;309880 63;HSK63;80;145;
120824090800;12;D63_MK_SCHLICHT;0;31.5;0.2;0;2.5;9;1;89;115;114.5;0;2F5D063R00;306541 22;;309880 63;HSK63;80;120;
120824142325;19;D40_MK_ALU;0;20;1.2;0;2.5;3;15;150;179.5;179.5;0;AX2K040R00;306566 16;;309880 63;HSK6;80;185;
120824070318;152;VHM_BOHRER_D3.4;1;1.7;0;135;0;1;26;28;153.8;152;0;122715 3.4;308192 6;;309880 63;HSK63;35;165;
120824070551;153;VHM_BOHRER_D4.5;1;2.25;0;135;0;1;33;37;162.5;160;0;122715 4.5;308192 6;;309880 63;HSK63;35;175;
120824073941;154;VHM_BOHRER_D5.5;1;2.75;0;135;0;1;42;46;168.7;168;0;122715 5.5;308192 6;;309880 63;HSK63;35;175;
120824075530;;;;;;;;;;;;;;;308192 6;;;;;;
120824075107;;;;;;;;;;;;;;;308192 6;;;;;;
120824083352;;;;;;;;;;;;;;;308192 6;;;;;;
120824083551;;;;;;;;;;;;;;;308192 6;;;;;;
120824113217;;;;;;;;;;;;;;;308192 6;;;;;;
120824075338;;;;;;;;;;;;;;;308192 6;;;;;;
120824071833;;;;;;;;;;;;;;;308192 6;;;;;;
120824071501;;;;;;;;;;;;;;;308192 6;;;;;;
120824070906;;;;;;;;;;;;;;;308192 6;;;;;;
120824083751;;;;;;;;;;;;;;;308192 6;;;;;;
120824100824;;;;;;;;;;;;;;;308192 6;;;;;;
120824103631;;;;;;;;;;;;;;;308192 6;;;;;;
120824120746;;;;;;;;;;;;;;;308192 6;;;;;;
120824142657;;;;;;;;;;;;;;;308192 6;;;;;;
120824104503;;;;;;;;;;;;;;;308192 6;;;;;;
120824090149;;;;;;;;;;;;;;;308192 6;;;;;;
120824142110;;;;;;;;;;;;;;;308192 6;;;;;;
120824141857;;;;;;;;;;;;;;;308192 6;;;;;;
120824073657;155;VHM_BOHRER_D6.6;1;3.3;0;135;0;1;50;54;178.5;177;0;122715 6.6;308192 8;;309880 63;HSK63;35;185;
120824074404;;;;;;;;;;;;;;;308192 8;;;;;;
120824075858;;;;;;;;;;;;;;;308192 8;;;;;;
120824084137;;;;;;;;;;;;;;;308192 8;;;;;;
120824103229;;;;;;;;;;;;;;;308192 8;;;;;;
120824142837;;;;;;;;;;;;;;;308192 8;;;;;;
120824140903;;;;;;;;;;;;;;;308192 8;;;;;;
120824141120;;;;;;;;;;;;;;;308192 8;;;;;;
120824102400;;;;;;;;;;;;;;;308192 10;;;;;;
120824080112;;;;;;;;;;;;;;;308192 10;;;;;;
120824073130;156;VHM_BOHRER_D9;1;4.5;0;135;0;1;54;58;180.7;185;0;122715 9;308192 10;;309880 63;HSK63;35;195;
120824084435;;;;;;;;;;;;;;;308192 10;;;;;;
120824074615;;;;;;;;;;;;;;;308192 10;;;;;;
120824132347;;;;;;;;;;;;;;;308192 10;;;;;;
120824085756;;;;;;;;;;;;;;;308192 12;;;;;;
120824072839;;;;;;;;;;;;;;;308192 12;;;;;;
120824125352;;;;;;;;;;;;;;;308192 12;;;;;;
120824074840;157;VHM_BOHRER_D11;1;5.5;0;135;0;1;66;71;196.3;195;0;122715 11;308192 12;;309880 63;HSK63;35;210;
120824140355;;;;;;;;;;;;;;;308192 12;;;;;;
120824080359;;;;;;;;;;;;;;;308192 12;;;;;;
120824101646;;;;;;;;;;;;;;;308192 14;;;;;;
120824140604;;;;;;;;;;;;;;;308192 16;;;;;;
120824141642;;;;;;;;;;;;;;;308192 16;;;;;;
120824143352;;;;;;;;;;;;;;;304272 20;;;;;;
120824145459;;;;;;;;;;;;;;;304272 20;;;;;;
090824111057;83;D4_SCHRUPP_SLOTMASCHINE;9;2;0;0;2.5;3;8;12;87;83;0;205550 4;304272 6;;309880 63;HSK63;35;100;
090824111439;84;D5_SCHRUPP_SLOTMASCHINE;9;2.5;0;0;2.5;3;13;18.5;87.5;86;0;205550 5;304272 6;;309880 63;HSK63;35;100;
130824135351;85;D6_SCHRUPP_SLOTMASCHINE;9;3;0;0;2.5;5;14;20;88;85;0;205550 6;304272 6;;309880 63;HSK63;35;100;
120824145640;;;;;;;;;;;;;;;304272 8;;;;;;
120824144912;;;;;;;;;;;;;;;304272 8;;;;;;
120824130707;;;;;;;;;;;;;;;304272 8;;;;;;
090824115958;112;D8_SCHRUPP_UEBERLANG;9;4;0;0;2.5;4;17;50;129.5;116;0;205718 8;304272 8;;309880 63;HSK63;35;140;
090824112239;86;D8_SCHRUPP_SLOTMASCHINE;9;4;0;0;2.5;5;19;26;92.5;91;0;205550 8;304272 8;;309880 63;HSK63;35;100;
120824143113;;;;;;;;;;;;;;;304272 10;;;;;;
120824143649;;;;;;;;;;;;;;;304272 10;;;;;;
090824120322;113;D10_SCHRUPP_UEBERLANG;9;5;0;0;2.5;4;13;51.5;116.5;126;0;205718 10;304272 10;;309880 63;HSK63;35;125;
090824112542;87;D10_SCHRUPP_SLOTMASCHINE;9;5;0;0;2.5;5;23;32;99;96;0;205550 10;304272 10;;309880 63;HSK63;35;110;
120824145233;;;;;;;;;;;;;;;304272 12;;;;;;
120824144720;;;;;;;;;;;;;;;304272 12;;;;;;
120824144524;;;;;;;;;;;;;;;304272 12;;;;;;
120824064042;114;D12_SCHRUPP_UEBERLANG;9;6;0;0;2.5;4;16;51.5;145.5;141;0;205718 12;304272 12;;309880 63;HSK63;35;160;
090824115328;88;D12_SCHRUPP_SLOTMASCHINE;9;6;0;0;2.5;5;27;37;120;117;0;205550 12;304272 12;;309880 63;HSK63;35;130;
120824145055;;;;;;;;;;;;;;;304272 16;;;;;;
090824115710;90;D16_SCHRUPP_SLOTMASCHINE;9;8;0;0;2.5;5;33;42;126;123;0;205550 16;304272 16;;309880 63;HSK63;35;140;
120824064541;115;D16_SCHRUPP_UEBERLANG;9;8;0;0;2.5;5;33;103;183;181;0;205718 16;304272 16;;309880 63;HSK63;35;200;
120824143843;;;;;;;;;;;;;;;304305 10;;;;;;
120824131239;;;;;;;;;;;;;;;304316 16;;;;;;
120824150415;;;;;;;;;;;;;;;304328 20;;;;;;
120824145828;;;;;;;;;;;;;;;304328 16;;;;;;
120824122017;;;;;;;;;;;;;;;304272 20;;;;;;
120824151949;;;;;;;;;;;;;;;308172 6;;;;;;
120824151748;;;;;;;;;;;;;;;308172 6;;;;;;
120824130140;;;;;;;;;;;;;;;308172 6;;;;;;
120824130905;;;;;;;;;;;;;;;308172 6;;;;;;
120824085954;;;;;;;;;;;;;;;308172 6;;;;;;
080824160926;52;D5_SCHLICHT_LANG;10;2.5;0;0;2.5;3;18;24;108.5;107;0;202394 5;308172 6;;309880 63;HSK63;35;115;
090824105535;71;D6_SCHLICHT_UEBERLANG;10;3;0;0;2.5;4;13.5;42;131;125;0;203038 6;308172 6;;309880 63;HSK63;35;140;
120824070023;141;D6_TPC_INGERSOLL_EDEL_KURZ;9;3;0;0;2.5;4;10;21;101;101;0;47C06010WERQ012;308172 6;;309880 63;HSK63;35;115;
090824101616;54;D6_SCHLICHT_LANG;10;3;0;0;2.5;3;13.5;22.5;112.5;107;0;202394 6;308172 6;;309880 63;HSK63;35;120;
120824065507;2141;D6_TPC_INGERSOLL_EDEL_KURZ;9;3;0;0;2.5;4;10;20;103.5;101;0;47C06010WERQ012;308172 6;;309880 63;HSK63;35;115;
120824122857;;;;;;;;;;;;;;;308172 6;;;;;;
120824150630;;;;;;;;;;;;;;;308172 6;;;;;;
120824151145;;;;;;;;;;;;;;;308172 6;;;;;;
120824152126;;;;;;;;;;;;;;;308172 6;;;;;;
130824065142;;;;;;;;;;;;;;;308172 8;;;;;;
130824064959;;;;;;;;;;;;;;;308172 8;;;;;;
120824154325;;;;;;;;;;;;;;;308172 8;;;;;;
120824155239;;;;;;;;;;;;;;;308172 8;;;;;;
120824150911;;;;;;;;;;;;;;;308172 8;;;;;;
120824124936;;;;;;;;;;;;;;;308172 8;;;;;;
090824105945;72;D8_SCHLICHT_UEBERLANG;10;4;0;0;2.5;4;22;62;143.5;145;0;203038 8;308172 8;;309880 63;HSK63;35;155;
120824123622;;;;;;;;;;;;;;;308172 8;;;;;;
090824101043;56;D8_SCHLICHT_LANG;10;4;0;0;2.5;3;18;26;109.4;113;0;202394 8;308172 8;;309880 63;HSK63;35;120;
120824151607;;;;;;;;;;;;;;;308172 10;;;;;;
090824102150;58;D10_SCHLICHT_LANG;10;5;0;0;2.5;3;22.5;33;126.5;125;0;202394 10;308172 10;;309880 63;HSK63;35;135;
090824110225;73;D10_SCHLICHT_UEBERLANG;10;5;0;0;2.5;4;22;58.5;148.5;145;0;203038 10;308172 10;;309880 63;HSK63;35;155;
120824102845;;;;;;;;;;;;;;;308172 10;;;;;;
120824152308;;;;;;;;;;;;;;;308172 10;;;;;;
120824155557;;;;;;;;;;;;;;;308172 10;;;;;;
120824154546;;;;;;;;;;;;;;;308172 10;;;;;;
